"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
diagnosis_als_etiology_genetic_factors,d_neuro_amyotrophic_lateral_sclerosis_als,,checkbox,"Genetic Factors","c9orf72, C9orf72 mutation | sod1, SOD1 mutation | other, Other genetic factors",,,,,,"[diagnosis_als_etiology(genetic_factors)] = 1",y,,,,,
diagnosis_als_etiology_genetic_factors_other,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"If you selected ""Other genetic factors"", please specify:",,,,,,,"[diagnosis_als_etiology_genetic_factors(other)] = 1",y,,,,,
diagnosis_als_etiology_environmental_factors,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"If you selected ""Environmental factors"", please specify:",,,,,,,"[diagnosis_als_etiology(environmental_factors)] = 1",y,,,,,
diagnosis_als_cp,d_neuro_amyotrophic_lateral_sclerosis_als,"4. Clinical Presentation",checkbox,"Describe the clinical features and symptoms of ALS in the participant:","upper_motor_neuron, Upper Motor Neuron Signs (e.g., spasticity, hyperreflexia) | lower_motor_neuron, Lower Motor Neuron Signs (e.g., muscle weakness, atrophy, fasciculations) | bulbar_symptoms, Bulbar Symptoms (e.g., dysarthria, dysphagia) | respiratory_involvement, Respiratory Involvement",,,,,,,y,,,,,
diagnosis_als_dp,d_neuro_amyotrophic_lateral_sclerosis_als,"5. Disease Progression",radio,"Please provide information on the current stage and progression of ALS:","earlyStage, Early Stage | intermediateStage, Intermediate Stage | advancedStage, Advanced Stage",,,,,,,y,,,,,
diagnosis_als_na_alsfrs_r_score,d_neuro_amyotrophic_lateral_sclerosis_als,"6. Neurological Assessment
Please provide results from relevant neurological assessments:",text,"Revised ALS Functional Rating Scale (ALSFRS-R) score:",,,,,,,,,,,,,
diagnosis_als_na_fvc_percentage,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"Forced Vital Capacity (FVC) percentage (if measured):",,,,,,,,,,,,,
diagnosis_als_na_other,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"Other neurological assessment (please specify):",,,,,,,,,,,,,
diagnosis_als_idt_emg_ncs,d_neuro_amyotrophic_lateral_sclerosis_als,"7. Imaging and Diagnostic Tests",text,"Electromyography (EMG) and Nerve Conduction Studies (NCS):",,,,,,,,,,,,,
diagnosis_als_idt_mri,d_neuro_amyotrophic_lateral_sclerosis_als,,file,"Magnetic Resonance Imaging (MRI) of the brain and spinal cord:",,,,,,,,,,,,,
diagnosis_als_idt_lumbar_puncture,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"Lumbar Puncture (if performed, specify findings):",,,,,,,,,,,,,
diagnosis_als_idt_genetic_testing,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"Genetic testing (if applicable, specify results):",,,,,,,,,,,,,
diagnosis_als_idt_other,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"Other diagnostic tests (please specify):",,,,,,,,,,,,,
diagnosis_als_treatment_and_management,d_neuro_amyotrophic_lateral_sclerosis_als,"8. Treatment and Management",radio,"Has the participant undergone any treatment or interventions for ALS?","yes, Yes | no, No",,,,,,,y,,,,,
diagnosis_als_treatment_and_management_yes,d_neuro_amyotrophic_lateral_sclerosis_als,,checkbox,Yes,"medications, Medications | supportive_care, Supportive Care",,,,,,"[diagnosis_als_treatment_and_management] = 'yes'",y,,,,,
diagnosis_als_treatment_and_management_yes_medications,d_neuro_amyotrophic_lateral_sclerosis_als,,checkbox,"Medications (if applicable):","riluzole, Riluzole | edaravone, Edaravone | sodium, Sodium phenylbutyrate/taurursodiol | tofersen, Tofersen | symptomatic_treatment, Symptomatic treatment (e.g., for spasticity, pain) | other, Other",,,,,,"[diagnosis_als_treatment_and_management] = 'yes' and [diagnosis_als_treatment_and_management_yes(medications)] = 1",y,,,,,
diagnosis_als_treatment_and_management_yes_medications_other,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"If you selected ""Other"", please specify:",,,,,,,"[diagnosis_als_treatment_and_management] = 'yes' and [diagnosis_als_treatment_and_management_yes(medications)] = 1 and [diagnosis_als_treatment_and_management_yes_medications(other)] = 1",y,,,,,
diagnosis_als_treatment_and_management_yes_supportive_care,d_neuro_amyotrophic_lateral_sclerosis_als,,checkbox,"Supportive Care:","physical_therapy, Physical therapy | occupational_therapy, Occupational therapy | speech_therapy, Speech therapy | respiratory_support, Respiratory support (e.g., non-invasive ventilation) | nutrition_support, Nutrition and swallowing support | psychotherapy, Psychotherapy | other, Other",,,,,,"[diagnosis_als_treatment_and_management] = 'yes' and [diagnosis_als_treatment_and_management_yes(supportive_care)] = 1",y,,,,,
diagnosis_als_treatment_and_management_yes_supportive_care_other,d_neuro_amyotrophic_lateral_sclerosis_als,,text,"If you selected ""Other"", please specify:",,,,,,,"[diagnosis_als_treatment_and_management] = 'yes' and [diagnosis_als_treatment_and_management_yes(supportive_care)] = 1 and [diagnosis_als_treatment_and_management_yes_supportive_care(other)] = 1",y,,,,,
diagnosis_ataxia_gsd,d_neuro_ataxia,"1. Gold Standard Diagnosis",radio,"Does the participant have ataxia?
","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
ataxia_type,d_neuro_ataxia,"2. Ataxia Type",radio,"What is the predominant ataxia type?

","cerebellar, Cerebellar (central) | sensory, Sensory (proprioceptive loss predominant) | vestibular, Vestibular (balance or vertigo predominant) | mixedOrUnclear, Mixed or unclear | other, Other | unknown, Unknown",,,,,,"[diagnosis_ataxia_gsd]=""yes"" or [diagnosis_ataxia_gsd]=""notCertain""",y,,,,,
ataxia_type_other,d_neuro_ataxia,,text,"Other

Please specify:",,,,,,,"[ataxia_type]=""other""",y,,,,,
diagnosis_ataxia_gsd_confirmation_method,d_neuro_ataxia,,checkbox,"How was this diagnosis confirmed? Select all that apply.","neurologist, Neurologist | movement_disorders_specialist, Movement disorders specialist | other_specialist, Other specialist | hospital_discharge_summary, Hospital discharge summary | problem_list_or_icd_code, Problem list or ICD code | participant_self_report, Participant self-report | unknown, Unknown",,,,,,"[diagnosis_ataxia_gsd]=""yes"" or [diagnosis_ataxia_gsd]=""notCertain""",y,,,,,
ataxia_neurologist_recent_date_supporting,d_neuro_ataxia,,text,"Neurologist

Date of most recent documentation supporting ataxia:",,,date_ymd,,,y,[diagnosis_ataxia_gsd_confirmation_method(neurologist)]=1,,,,,,
ataxia_mds_recent_date_supporting,d_neuro_ataxia,,text,"Movement disorders specialist

Date of most recent documentation supporting ataxia:",,,date_ymd,,,y,[diagnosis_ataxia_gsd_confirmation_method(movement_disorders_specialist)]=1,,,,,,
ataxia_other_specialist_selected,d_neuro_ataxia,,text,"Other specialist

Please specify:",,,,,,,[diagnosis_ataxia_gsd_confirmation_method(other_specialist)]=1,y,,,,,
ataxia_supported_confirmed,d_neuro_ataxia,,checkbox,"How was ataxia supported or confirmed? Select all that apply.
","history_or_repeated_exam_documents_gait_truncal_limb_incoordination, History or repeated exam documents gait, truncal, or limb incoordination | neurological_exam_shows_signs_consistent_with_ataxia, Objective neurological exam signs are consistent with ataxia (examples: dysmetria, dysdiadochokinesia, dysarthria, nystagmus) | reasonable_evaluation_exclude_major_alternative_explanations, Reasonable evaluation was done to exclude major alternative explanations (examples: sensory loss, weakness or spasticity, intoxication or medication effect) or to classify the type with supporting findings | severity_standardized_ataxia_scale, Severity quantified using a standardized ataxia scale (examples: SARA, ICARS, or FARS) | supporting_testing_performed, Supporting testing performed (examples: MRI findings consistent with cerebellar pathology, or relevant labs or genetic testing depending on suspected cause) | unknown, Unknown",,,,,,,y,,,,,
ataxia_calculated_validated_result,d_neuro_ataxia,,text,"Validated Ataxia Result",,,,,,,,,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ataxia_supported_confirmed(history_or_repeated_exam_documents_gait_truncal_limb_incoordination)]=1 and [ataxia_supported_confirmed(neurological_exam_shows_signs_consistent_with_ataxia)]=1 and [ataxia_supported_confirmed(reasonable_evaluation_exclude_major_alternative_explanations)]=1,'Validated Yes', 'Validated No'))"
ataxia_etiology,d_neuro_ataxia,"3. Etiology",checkbox,"What is the etiology? Select all that apply.","genetic_or_hereditary, Genetic or hereditary | degenerative_non_hereditary, Degenerative, non-hereditary | sporadic_onset_ataxia, Sporadic onset ataxia | vascular, Vascular (example: stroke or hemorrhage) | autoimmune_or_paraneoplastic, Autoimmune or paraneoplastic | toxic_medication_induced_or_alcohol_related, Toxic, medication-induced, or alcohol-related | metabolic_or_nutritional, Metabolic or nutritional | infectious_or_post_infectious, Infectious or post-infectious | structural_lesion, Structural lesion (example: tumor or malformation) | other, Other | unknown, Unknown",,,,,,,y,,,,,
ataxia_etiology_genetic_hereditary_list_gene_mutation,d_neuro_ataxia,,text,"Genetic or hereditary

List gene or mutation if known:",,,,,,,[ataxia_etiology(genetic_or_hereditary)]=1,,,,,,
ataxia_etiology_other_specify,d_neuro_ataxia,,text,"Other

Please specify:",,,,,,,[ataxia_etiology(other)]=1,y,,,,,
ataxia_course_pattern,d_neuro_ataxia,"4. Presentation and severity",radio,"Course pattern:
","acute, Acute (hours to days) | subacute, Subacute (days to weeks) | chronicOrProgressive, Chronic or progressive (months to years) | unknown, Unknown",,,,,,,y,,,,,
ataxia_present_episodic_chronic,d_neuro_ataxia,,checkbox,"Does ataxia present as episodic or chronic? (Choose all that apply)
","episodic, Episodic | chronic, Chronic | no, No | unknown, Unknown",,,,,,"[ataxia_type]=""cerebellar"" or [ataxia_type]=""mixedOrUnclear"" or [ataxia_type]=""other"" or [ataxia_type]=""unknown""",y,,,,,
ataxia_clinical_presentation,d_neuro_ataxia,,checkbox,"Clinical presentation (select all that apply):
","gait_imbalance_or_wide_based_gait, Gait imbalance or wide-based gait | limb_incoordination, Limb incoordination (e.g. dysmetria on target testing, dysdiadochokinesia) | changes_in_speech, Changes in speech (e.g. dysarthria) | truncal_instability, Truncal instability | dysphagia, Dysphagia | oculomotor_abnormalities, Oculomotor abnormalities (nystagmus, abnormal pursuit, saccadic dysmetria) | prominent_sensory_loss_or_proprioceptive_impairment, Prominent sensory loss or proprioceptive impairment | prominent_vertigo_or_dizziness, Prominent vertigo or dizziness | other, Other | unknown, Unknown",,,,,,,y,,,,,
ataxia_clinical_presentation_other,d_neuro_ataxia,,text,"Other

Please specify:",,,,,,,[ataxia_clinical_presentation(other)]=1,y,,,,,
ataxia_scores_standardized_scales,d_neuro_ataxia,,checkbox,"Please provide scores or results from standardized ataxia scales (select all that apply).
","sara_score, SARA score available | icars_score, ICARS score available | fars_score, FARS score available | functional_mobility_stage, Functional mobility stage available | other_scale, Other scale | not_available, Not available",,,,,,[ataxia_supported_confirmed(severity_standardized_ataxia_scale)]=1,y,,,,,
ataxia_sara_score_option,d_neuro_ataxia,,text,"SARA score available

SARA total score (0 to 40): ",,,number,0,40,,[ataxia_scores_standardized_scales(sara_score)]=1,y,,,,,
ataxia_icars_score_option,d_neuro_ataxia,,text,"ICARS score available

ICARS total score (0 to 100):",,,number,0,100,,[ataxia_scores_standardized_scales(icars_score)]=1,y,,,,,
ataxia_fars_score_option,d_neuro_ataxia,,text,"FARS score available

FARS total score (0 to 125):",,,number,0,125,,[ataxia_scores_standardized_scales(fars_score)]=1,y,,,,,
ataxia_aother_scale_option_label,d_neuro_ataxia,,descriptive,"Other scale",,,,,,,[ataxia_scores_standardized_scales(other_scale)]=1,,,,,,
ataxia_other_scale_identify_scale,d_neuro_ataxia,,text,"Identify scale:",,,,,,,[ataxia_scores_standardized_scales(other_scale)]=1,y,,,,,
ataxia_other_scale_total_score,d_neuro_ataxia,,text,"Total score:",,,,,,,[ataxia_scores_standardized_scales(other_scale)]=1,y,,,,,
ataxia_functional_mobility_stage,d_neuro_ataxia,,radio,"Functional mobility stage:
","ambulatoryWithoutAid, Ambulatory without aid | ambulatoryWithAid, Ambulatory with aid (cane or walker) | wheelchairDependent, Wheelchair-dependent | bedboundOrTotalAssistance, Bedbound or total assistance",,,,,,[ataxia_scores_standardized_scales(functional_mobility_stage)]=1,,,,,,
ataxia_emg_or_ncs_performed,d_neuro_ataxia,"5. Imaging and diagnostic tests",radio,"EMG or NCS performed?","yes, Yes | no, No | unknown, Unknown",,,,,,"[ataxia_supported_confirmed(supporting_testing_performed)]=1 and [ataxia_type]=""sensory""",y,,,,,
ataxia_emg_or_ncs_specify_test,d_neuro_ataxia,,radio,"Please specify test
","emg, EMG | ncs, NCS",,,,,,"[ataxia_emg_or_ncs_performed]=""yes""",y,,,,,
ataxia_emg_or_ncs_test_results,d_neuro_ataxia,,radio,"Test results:","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,"[ataxia_emg_or_ncs_performed]=""yes""",y,,,,,
ataxia_emg_or_ncs_key_findings,d_neuro_ataxia,,text,"Key findings (optional):",,,,,,,"[ataxia_emg_or_ncs_performed]=""yes""",,,,,,
ataxia_vestibular_testing_performed,d_neuro_ataxia,,radio,"Vestibular testing performed?
","yes, Yes | no, No | unknown, Unknown",,,,,,"[ataxia_supported_confirmed(supporting_testing_performed)]=1 and [ataxia_type]=""vestibular""",y,,,,,
ataxia_vestibular_test_results,d_neuro_ataxia,,radio,"Test results:
","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,"[ataxia_vestibular_testing_performed]=""yes""",y,,,,,
ataxia_vestibular_key_findings,d_neuro_ataxia,,text,"Key findings (optional):",,,,,,,"[ataxia_vestibular_testing_performed]=""yes""",,,,,,
ataxia_tests_performed,d_neuro_ataxia,,checkbox,"Tests performed (select all that apply)
","brain_mri, Brain MRI | genetic_testing, Genetic testing | acquired_ataxia_workup, Acquired ataxia workup | relevant_labs_performed, Relevant labs performed (metabolic, nutritional, autoimmune, blood, CSF, or serum) | other_testing, Other testing",,,,,,[ataxia_supported_confirmed(supporting_testing_performed)]=1,y,,,,,
ataxia_brain_mri_results,d_neuro_ataxia,,radio,"Brain MRI results:
","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,[ataxia_tests_performed(brain_mri)]=1,y,,,,,
ataxia_brain_mri_results_abnormal,d_neuro_ataxia,,radio,"Abnormal
","cerebellarAtrophy, Cerebellar atrophy | brainStemAtrophy, Brain stem atrophy | otherAbnormalities, Other abnormalities",,,,,,"[ataxia_tests_performed(brain_mri)]=1 and [ataxia_brain_mri_results]=""abnormal""",y,,,,,
ataxia_brain_mri_results_other_abnormalities,d_neuro_ataxia,,text,"Other abnormalities

Please specify:",,,,,,,"[ataxia_tests_performed(brain_mri)]=1 and [ataxia_brain_mri_results_abnormal]=""otherAbnormalities""",y,,,,,
ataxia_brain_mri_results_key_findings,d_neuro_ataxia,,text,"Key findings (optional)",,,,,,,[ataxia_tests_performed(brain_mri)]=1,,,,,,
ataxia_genetic_testing_label,d_neuro_ataxia,,descriptive,"Genetic testing",,,,,,,[ataxia_tests_performed(genetic_testing)]=1,,,,,,
ataxia_genetic_testing_specify,d_neuro_ataxia,,text,"Please specify test",,,,,,,[ataxia_tests_performed(genetic_testing)]=1,y,,,,,
ataxia_genetic_testing_results,d_neuro_ataxia,,radio,"Genetic testing results:","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,[ataxia_tests_performed(genetic_testing)]=1,y,,,,,
ataxia_genetic_testing_results_key_findings,d_neuro_ataxia,,text,"Key findings (optional)",,,,,,,[ataxia_tests_performed(genetic_testing)]=1,,,,,,
ataxia_acquired_ataxia_workup_label,d_neuro_ataxia,,descriptive,"Acquired ataxia workup",,,,,,,[ataxia_tests_performed(acquired_ataxia_workup)]=1,,,,,,
ataxia_acquired_ataxia_workup_specify,d_neuro_ataxia,,text,"Please specify test",,,,,,,[ataxia_tests_performed(acquired_ataxia_workup)]=1,y,,,,,
ataxia_workup_results,d_neuro_ataxia,,radio,"Ataxia workup results:","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,[ataxia_tests_performed(acquired_ataxia_workup)]=1,y,,,,,
ataxia_workup_results_key_findings,d_neuro_ataxia,,text,"Key findings (optional)",,,,,,,[ataxia_tests_performed(acquired_ataxia_workup)]=1,,,,,,
ataxia_arelevant_labs_label,d_neuro_ataxia,,descriptive,"Relevant labs performed (metabolic, nutritional, autoimmune, blood, CSF, or serum)",,,,,,,[ataxia_tests_performed(relevant_labs_performed)]=1,,,,,,
ataxia_relevant_labs_selection,d_neuro_ataxia,,checkbox,"Relevant labs (select all that apply):","metabolic, Metabolic | nutritional, Nutritional | autoimmune, Autoimmune | blood, Blood | csf, CSF | serum, Serum | other, Other",,,,,,[ataxia_tests_performed(relevant_labs_performed)]=1,y,,,,,
ataxia_relevant_labs_performed_metabolic_option,d_neuro_ataxia,,text,"Metabolic

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(metabolic)]=1",y,,,,,
ataxia_relevant_labs_performed_nutritional_option,d_neuro_ataxia,,text,"Nutritional

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(nutritional)]=1",y,,,,,
ataxia_relevant_labs_performed_autoimmune_option,d_neuro_ataxia,,text,"Autoimmune

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(autoimmune)]=1",y,,,,,
ataxia_relevant_labs_performed_blood_option,d_neuro_ataxia,,text,"Blood

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(blood)]=1",y,,,,,
ataxia_relevant_labs_performed_csf_option,d_neuro_ataxia,,text,"CSF

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(csf)]=1",y,,,,,
ataxia_relevant_labs_performed_serum_option,d_neuro_ataxia,,text,"Serum

Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(serum)]=1",y,,,,,
ataxia_relevant_labs_performed_other_option_label,d_neuro_ataxia,,descriptive,Other,,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(other)]=1",,,,,,
ataxia_relevant_labs_performed_other_option_specify,d_neuro_ataxia,,text,"Please specify test:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(other)]=1",y,,,,,
ataxia_relevant_labs_performed_other_option_key_results,d_neuro_ataxia,,text,"Identify key results:",,,,,,,"[ataxia_tests_performed(relevant_labs_performed)]=1 and [ataxia_relevant_labs_selection(other)]=1",y,,,,,
ataxia_other_testing_label,d_neuro_ataxia,,descriptive,"Other testing",,,,,,,[ataxia_tests_performed(other_testing)]=1,,,,,,
ataxia_other_testing_specify,d_neuro_ataxia,,text,"Please specify test:",,,,,,,[ataxia_tests_performed(other_testing)]=1,y,,,,,
ataxia_other_testing_results,d_neuro_ataxia,,radio,"Other testing results:","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,[ataxia_tests_performed(other_testing)]=1,y,,,,,
ataxia_other_testing_key_findings,d_neuro_ataxia,,text,"Key findings (optional):",,,,,,,[ataxia_tests_performed(other_testing)]=1,,,,,,
ataxia_treatment_or_therapy,d_neuro_ataxia,"6. Treatment",radio,"Has the participant received any treatment or therapy for ataxia?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,
ataxia_treatment_types_selection,d_neuro_ataxia,,checkbox,"Select all treatment types that apply:
","rehabilitation_therapies, Rehabilitation therapies (PT, OT, speech therapy) | assistive_devices, Assistive devices (cane, walker, wheelchair) | etiology_targeted_treatment, Etiology-targeted treatment (if applicable) | other, Other",,,,,,"[ataxia_treatment_or_therapy]=""yes""",y,,,,,
ataxia_etiology_targeted_treatment,d_neuro_ataxia,,text,"Etiology-targeted treatment (if applicable)

Please specify :",,,,,,,[ataxia_treatment_types_selection(etiology_targeted_treatment)]=1,y,,,,,
ataxia_other_treatment,d_neuro_ataxia,,text,"Other

Please specify :",,,,,,,[ataxia_treatment_types_selection(other)]=1,y,,,,,
diagnosis_et_gsd,d_neuro_essential_tremor,"1. Gold Standard Diagnosis:",radio,"Does the participant have essential tremor?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
diagnosis_et_gsd_confirmation_method,d_neuro_essential_tremor,,checkbox,"How was this diagnosis confirmed? Select all that apply.","neurologist, Neurologist | movement_disorders_specialist, Movement disorders specialist | other_specialist, Other specialist | hospital_discharge_summary, Hospital discharge summary | problem_list_or_icd_code, Problem list or ICD code | diagnostic_testing, Diagnostic testing | participant_self_report, Participant self-report | unknown, Unknown",,,,,,"[diagnosis_et_gsd]=""yes"" or [diagnosis_et_gsd]=""notCertain""",y,,,,,
et_neurologist_recent_date_supporting,d_neuro_essential_tremor,,text,"Neurologist

Date of most recent documentation supporting essential tremor:",,,date_ymd,,,y,[diagnosis_et_gsd_confirmation_method(neurologist)]=1,,,,,,
et_mds_recent_date_supporting,d_neuro_essential_tremor,,text,"Movement disorders specialist

Date of most recent documentation supporting essential tremor:",,,date_ymd,,,y,[diagnosis_et_gsd_confirmation_method(movement_disorders_specialist)]=1,,,,,,
et_other_specialist_selected,d_neuro_essential_tremor,,text,"Other specialist

Please specify: ",,,,,,,[diagnosis_et_gsd_confirmation_method(other_specialist)]=1,y,,,,,
et_action_tremor_history_exam,d_neuro_essential_tremor,"Validation Criteria Checks",radio,"Evidence of bilateral upper-limb action tremor documented by history or exam","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
et_tremor_duration_3yrs,d_neuro_essential_tremor,,radio,"Tremor duration is at least three years","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
et_no_alternative_dx_documented,d_neuro_essential_tremor,,radio,"No better alternative diagnosis is documented
(Examples: Parkinsonian, dystonic, cerebellar, functional, or medication-induced tremor)","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
et_calculated_validated_result,d_neuro_essential_tremor,,text,"Validated Essential Tremor Result",,,,,,,,,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([et_action_tremor_history_exam] = 'yes' and [et_tremor_duration_3yrs] = 'yes' and [et_no_alternative_dx_documented] = 'yes', ""Validated Yes"", ""Validated No""))"
et_tremor_distribution,d_neuro_essential_tremor,"2. Disease type",checkbox,"Tremor distribution (select all that apply)
","head, Head | voice, Voice | jaw, Jaw | lower_limbs, Lower limbs | none_of_the_above, None of the above | unknown, Unknown",,,,,,,y,,,,,
et_tremor_postural_or_kinetic,d_neuro_essential_tremor,,radio,"Is the tremor postural or kinetic?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
et_rest_tremor_documented,d_neuro_essential_tremor,,radio,"Is rest tremor also documented?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
et_supportive_clinical_features,d_neuro_essential_tremor,,checkbox,"Supportive clinical features (select all that apply)
","family_history_of_tremor, Family history of tremor | tremor_improves_with_alcohol, Tremor improves with alcohol | tetras_performance_adl_ftmtrs_scores_available, TETRAS performance, ADL, or Fahn-Tolosa-Marin scores available | handwriting_or_spiral_abnormality_documented, Handwriting or spiral abnormality documented | difficulty_eating_drinking_writing_dressing_due_to_tremor, Difficulty eating, drinking, writing, or dressing due to tremor | social_or_quality_of_life_impact_documented, Social or quality-of-life impact documented | unknown_or_not_documented, Unknown or not documented",,,,,,,y,,,,,
et_participant_have_any_other_condition,d_neuro_essential_tremor,,checkbox,"Does the participant have signs of any other condition? (select all that apply)
","ataxia_or_dysmetria, Ataxia or dysmetria | parkinsonism, Parkinsonism | medication_or_substance_related_tremor, Medication or substance-related tremor | dystonia, Dystonia | cerebellar_signs, Cerebellar signs | functional_tremor, Functional tremor | thyroid_or_metabolic_condition, Thyroid or metabolic condition | not_evaluated_or_documented, Not evaluated or documented",,,,,,"[et_no_alternative_dx_documented]=""yes"" or [et_no_alternative_dx_documented]=""notCertain""",y,,,,,
et_scores_or_results_tremor_assessment_scales,d_neuro_essential_tremor,"3. Assessment",checkbox,"Please provide scores or results from tremor rating assessment scales (select all that apply).","tetras_performance_score, TETRAS performance score available | adl_score, ADL score available | ftmtrs_total_score, Fahn-Tolosa-Marin (FTMTRS) total score available | other_scale, Other scale",,,,,,[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1,y,,,,,
et_tetras_performance_score,d_neuro_essential_tremor,,text,"TETRAS performance score available

TETRAS performance score (0 to 64):",,,number,0,64,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(tetras_performance_score)]=1",y,RH,,,,
et_adl_score_available_label,d_neuro_essential_tremor,,descriptive,"ADL score available",,,,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(adl_score)]=1",,,,,,
et_adl_scale_used,d_neuro_essential_tremor,,text,"ADL scale used: ",,,,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(adl_score)]=1",y,,,,,
et_adl_total_score,d_neuro_essential_tremor,,text,"ADL total score:",,,number,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(adl_score)]=1",y,,,,,
et_ftmtrs_total_score,d_neuro_essential_tremor,,text,"Fahn-Tolosa-Marin (FTMTRS) total score available

FTMTRS total score (0 to 144):",,,number,0,144,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1  and [et_scores_or_results_tremor_assessment_scales(ftmtrs_total_score)]=1",y,,,,,
et_other_scale_label,d_neuro_essential_tremor,,descriptive,"Other scale",,,,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(other_scale)]=1",,,,,,
et_other_scale_identify_scale,d_neuro_essential_tremor,,text,"Identify scale:",,,,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(other_scale)]=1",y,,,,,
et_other_scale_total_score,d_neuro_essential_tremor,,text,"Total score:",,,,,,,"[et_supportive_clinical_features(tetras_performance_adl_ftmtrs_scores_available)]=1 and [et_scores_or_results_tremor_assessment_scales(other_scale)]=1",y,,,,,
et_tests_analyses_performed,d_neuro_essential_tremor,"4. Imaging and diagnostic tests",checkbox,"Tests and analyses performed (select all that apply).
","brain_mri, Brain MRI | datscan_or_dopaminergic_evaluation, DaTscan or dopaminergic evaluation performed | electrophysiologic_tremor_analysis, Electrophysiologic tremor analysis performed | relevant_labs, Relevant labs performed (metabolic, nutritional, autoimmune, blood, CSF, or serum) | other_testing, Other testing",,,,,,[diagnosis_et_gsd_confirmation_method(diagnostic_testing)]=1,y,,,,,
et_brain_mri_label,d_neuro_essential_tremor,,descriptive,"Brain MRI",,,,,,,[et_tests_analyses_performed(brain_mri)]=1,,,,,,
et_brain_mri_results,d_neuro_essential_tremor,,radio,"Brain MRI results:","normal, Normal | abnormal, Abnormal | unknown, Unknown",,,,,,[et_tests_analyses_performed(brain_mri)]=1,y,,,,,
et_brain_mri_results_abnormal,d_neuro_essential_tremor,,radio,Abnormal,"cerebellarAtrophy, Cerebellar atrophy | brainStemAtrophy, Brain stem atrophy | otherAbnormalities, Other abnormalities",,,,,,"[et_tests_analyses_performed(brain_mri)]=1 and [et_brain_mri_results]=""abnormal""",y,,,,,
